# JMH version: 1.35
# VM version: JDK 17.0.5, OpenJDK 64-Bit Server VM, 17.0.5+0
# VM invoker: /opt/homebrew/Cellar/openjdk@17/17.0.5/libexec/openjdk.jdk/Contents/Home/bin/java
# VM options: -Xms256M -Xmx256M -Xms1G -Xmx1G -XX:+UseG1GC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 10 s each
# Measurement: 3 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: trile.ConcurrencyBenchmark.coroutine
# Parameters: (bufferSize = 128, numberEvent = 100, poolSize = 8)

# Run progress: 0.00% complete, ETA 04:20:00
# Fork: 1 of 5
# Warmup Iteration   1: 305414.249 ops/s
# Warmup Iteration   2: 306872.883 ops/s
# Warmup Iteration   3: 307790.495 ops/s
# Warmup Iteration   4: 302652.755 ops/s
# Warmup Iteration   5: 303462.184 ops/s
# Warmup Iteration   6: 302816.153 ops/s
# Warmup Iteration   7: 304607.851 ops/s
# Warmup Iteration   8: 306433.575 ops/s
# Warmup Iteration   9: 308872.547 ops/s
# Warmup Iteration  10: 309244.136 ops/s
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   824.329 MB/sec
                 ·gc.alloc.rate.norm:              24134875.233 B/op
                 ·gc.churn.G1_Eden_Space:          786.081 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     23015036.399 B/op
                 ·gc.churn.G1_Survivor_Space:      0.007 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 195.315 B/op
                 ·gc.count:                        14.000 counts
                 ·gc.time:                         13.000 ms


# Run progress: 27.50% complete, ETA 03:19:20
# Fork: 4 of 5
# Warmup Iteration   1: 37.822 ops/s
# Warmup Iteration   2: 39.011 ops/s
# Warmup Iteration   3: 39.086 ops/s
# Warmup Iteration   4: 39.099 ops/s
# Warmup Iteration   5: 39.095 ops/s
# Warmup Iteration   6: 39.110 ops/s
# Warmup Iteration   7: 39.098 ops/s
# Warmup Iteration   8: 39.094 ops/s
# Warmup Iteration   9: 39.109 ops/s
# Warmup Iteration  10: 39.132 ops/s
Iteration   1: 39.053 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   853.289 MB/sec
                 ·gc.alloc.rate.norm:              24084344.020 B/op
                 ·gc.churn.G1_Eden_Space:          873.647 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     24658967.570 B/op
                 ·gc.churn.G1_Survivor_Space:      0.011 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 300.890 B/op
                 ·gc.count:                        15.000 counts
                 ·gc.time:                         13.000 ms

Iteration   2: 39.115 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   854.555 MB/sec
                 ·gc.alloc.rate.norm:              24084279.939 B/op
                 ·gc.churn.G1_Eden_Space:          814.533 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     22956324.571 B/op
                 ·gc.churn.G1_Survivor_Space:      0.008 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 221.143 B/op
                 ·gc.count:                        14.000 counts
                 ·gc.time:                         13.000 ms

Iteration   3: 39.063 ops/s
                 ·class.load:                      15293.147 classes/sec
                 ·class.load.norm:                 3.780 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   829.296 MB/sec
                 ·gc.alloc.rate.norm:              24134930.598 B/op
                 ·gc.churn.G1_Eden_Space:          847.303 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     24658967.570 B/op
                 ·gc.churn.G1_Survivor_Space:      0.004 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 110.854 B/op
                 ·gc.count:                        15.000 counts
                 ·gc.time:                         13.000 ms


# Run progress: 28.33% complete, ETA 03:17:02
# Fork: 5 of 5
# Warmup Iteration   1: 37.790 ops/s
# Warmup Iteration   2: 39.197 ops/s
# Warmup Iteration   3: 39.136 ops/s
# Warmup Iteration   4: 39.111 ops/s
# Warmup Iteration   5: 39.188 ops/s
# Warmup Iteration   6: 39.208 ops/s
# Warmup Iteration   7: 39.118 ops/s
# Warmup Iteration   8: 39.067 ops/s
# Warmup Iteration   9: 39.198 ops/s
# Warmup Iteration  10: 39.105 ops/s
Iteration   1: 39.209 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   856.786 MB/sec
                 ·gc.alloc.rate.norm:              24084339.298 B/op
                 ·gc.churn.G1_Eden_Space:          872.764 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     24533476.641 B/op
                 ·gc.churn.G1_Survivor_Space:      0.008 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 215.328 B/op
                 ·gc.count:                        15.000 counts
                 ·gc.time:                         13.000 ms

Iteration   2: 39.151 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   855.535 MB/sec
                 ·gc.alloc.rate.norm:              24084341.592 B/op
                 ·gc.churn.G1_Eden_Space:          873.713 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     24596062.041 B/op
                 ·gc.churn.G1_Survivor_Space:      0.007 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 210.612 B/op
                 ·gc.count:                        15.000 counts
                 ·gc.time:                         13.000 ms

Iteration   3: 39.155 ops/s
                 ·class.load:                      15098.501 classes/sec
                 ·class.load.norm:                 3.761 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   843.279 MB/sec
                 ·gc.alloc.rate.norm:              24134611.583 B/op
                 ·gc.churn.G1_Eden_Space:          800.068 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     22897911.532 B/op
                 ·gc.churn.G1_Survivor_Space:      0.004 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 105.038 B/op
                 ·gc.count:                        14.000 counts
                 ·gc.time:                         12.000 ms



Result "trile.ConcurrencyBenchmark.coroutine":
  39.099 ±(99.9%) 0.084 ops/s [Average]
  (min, avg, max) = (38.952, 39.099, 39.209), stdev = 0.078
  CI (99.9%): [39.015, 39.182] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.load":
  5098.866 ±(99.9%) 7979.716 classes/sec [Average]
  (min, avg, max) = (≈ 0, 5098.866, 15380.453), stdev = 7464.231
  CI (99.9%): [≈ 0, 13078.582] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.load.norm":
  1.258 ±(99.9%) 1.969 classes/op [Average]
  (min, avg, max) = (≈ 0, 1.258, 3.780), stdev = 1.842
  CI (99.9%): [≈ 0, 3.227] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.unload":
  ≈ 0 classes/sec

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.unload.norm":
  ≈ 0 classes/op

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.alloc.rate":
  846.518 ±(99.9%) 13.710 MB/sec [Average]
  (min, avg, max) = (824.329, 846.518, 856.786), stdev = 12.824
  CI (99.9%): [832.808, 860.228] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.alloc.rate.norm":
  24101158.321 ±(99.9%) 26326.579 B/op [Average]
  (min, avg, max) = (24084279.939, 24101158.321, 24134930.598), stdev = 24625.898
  CI (99.9%): [24074831.743, 24127484.900] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Eden_Space":
  845.418 ±(99.9%) 40.646 MB/sec [Average]
  (min, avg, max) = (786.081, 845.418, 874.235), stdev = 38.021
  CI (99.9%): [804.771, 886.064] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Eden_Space.norm":
  24061889.861 ±(99.9%) 858103.035 B/op [Average]
  (min, avg, max) = (22897911.532, 24061889.861, 24722195.692), stdev = 802670.111
  CI (99.9%): [23203786.827, 24919992.896] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Survivor_Space":
  0.007 ±(99.9%) 0.002 MB/sec [Average]
  (min, avg, max) = (0.004, 0.007, 0.011), stdev = 0.002
  CI (99.9%): [0.005, 0.009] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Survivor_Space.norm":
  200.226 ±(99.9%) 58.674 B/op [Average]
  (min, avg, max) = (105.038, 200.226, 300.890), stdev = 54.883
  CI (99.9%): [141.552, 258.900] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.count":
  220.000 ±(99.9%) 0.001 counts [Sum]
  (min, avg, max) = (14.000, 14.667, 15.000), stdev = 0.488
  CI (99.9%): [220.000, 220.000] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.time":
  195.000 ±(99.9%) 0.001 ms [Sum]
  (min, avg, max) = (11.000, 13.000, 14.000), stdev = 0.756
  CI (99.9%): [195.000, 195.000] (assumes normal distribution)


# JMH version: 1.35
# VM version: JDK 17.0.5, OpenJDK 64-Bit Server VM, 17.0.5+0
# VM invoker: /opt/homebrew/Cellar/openjdk@17/17.0.5/libexec/openjdk.jdk/Contents/Home/bin/java
# VM options: -Xms256M -Xmx256M -Xms1G -Xmx1G -XX:+UseG1GC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 10 s each
# Measurement: 3 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: trile.ConcurrencyBenchmark.coroutine
# Parameters: (bufferSize = 2048, numberEvent = 1000000, poolSize = 64)

# Run progress: 29.17% complete, ETA 03:14:45
# Fork: 1 of 5
# Warmup Iteration   1: 37.855 ops/s
# Warmup Iteration   2: 39.211 ops/s
# Warmup Iteration   3: 39.159 ops/s
# Warmup Iteration   4: 39.136 ops/s
# Warmup Iteration   5: 39.074 ops/s
# Warmup Iteration   6: 39.156 ops/s
# Warmup Iteration   7: 39.141 ops/s
# Warmup Iteration   8: 39.189 ops/s
# Warmup Iteration   9: 39.187 ops/s
# Warmup Iteration  10: 39.163 ops/s
Iteration   1: 39.157 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   855.518 MB/sec
                 ·gc.alloc.rate.norm:              24084341.592 B/op
                 ·gc.churn.G1_Eden_Space:          873.695 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     24596062.041 B/op
                 ·gc.churn.G1_Survivor_Space:      0.007 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 194.102 B/op
                 ·gc.count:                        15.000 counts
                 ·gc.time:                         14.000 ms

Iteration   2: 39.186 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   856.389 MB/sec
                 ·gc.alloc.rate.norm:              24084339.338 B/op
                 ·gc.churn.G1_Eden_Space:          872.360 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     24533476.641 B/op
                 ·gc.churn.G1_Survivor_Space:      0.009 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 246.840 B/op
                 ·gc.count:                        15.000 counts
                 ·gc.time:                         13.000 ms

Iteration   3: 39.143 ops/s
                 ·class.load:                      15325.385 classes/sec
                 ·class.load.norm:                 3.770 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   829.278 MB/sec
                 ·gc.alloc.rate.norm:              24134759.612 B/op
                 ·gc.churn.G1_Eden_Space:          788.787 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     22956324.571 B/op
                 ·gc.churn.G1_Survivor_Space:      0.007 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 215.163 B/op
                 ·gc.count:                        14.000 counts
                 ·gc.time:                         12.000 ms


# Run progress: 30.00% complete, ETA 03:12:28
# Fork: 2 of 5
# Warmup Iteration   1: 37.944 ops/s
# Warmup Iteration   2: 39.036 ops/s
# Warmup Iteration   3: 39.075 ops/s
# Warmup Iteration   4: 39.128 ops/s
# Warmup Iteration   5: 39.050 ops/s
# Warmup Iteration   6: 39.102 ops/s
# Warmup Iteration   7: 39.104 ops/s
# Warmup Iteration   8: 39.112 ops/s
# Warmup Iteration   9: 39.143 ops/s
# Warmup Iteration  10: 39.069 ops/s
Iteration   1: 39.089 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   854.074 MB/sec
                 ·gc.alloc.rate.norm:              24084341.776 B/op
                 ·gc.churn.G1_Eden_Space:          872.220 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     24596062.041 B/op
                 ·gc.churn.G1_Survivor_Space:      0.011 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 311.367 B/op
                 ·gc.count:                        15.000 counts
                 ·gc.time:                         12.000 ms

Iteration   2: 39.141 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   855.281 MB/sec
                 ·gc.alloc.rate.norm:              24084280.000 B/op
                 ·gc.churn.G1_Eden_Space:          815.225 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     22956324.571 B/op
                 ·gc.churn.G1_Survivor_Space:      0.008 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 231.673 B/op
                 ·gc.count:                        14.000 counts
                 ·gc.time:                         12.000 ms

Iteration   3: 39.031 ops/s
                 ·class.load:                      15287.056 classes/sec
                 ·class.load.norm:                 3.780 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
